"Brand","USB_ports","Size","Age","Sold_Worldwide","Price"
"HP",5,"Large",1,956,751
"HP",4,"Medium",4,635,318
"HP",5,"Medium",0,461,658
"HP",1,"Large",3,602,398
"HP",1,"Large",2,601,575
"HP",0,"Small",2,976,473
"HP",3,"Large",1,1165,752
"MSI",2,"Large",0,1130,912
"HP",3,"Small",2,1350,559
"HP",1,"Medium",5,947,299
"HP",2,"Large",4,779,397
"HP",3,"Medium",1,942,717
"HP",2,"Large",5,756,288
"HP",1,"Large",1,1152,827
"MSI",2,"Large",2,1161,746
"MSI",1,"Medium",4,1015,472
"HP",4,"Medium",4,1356,509
"MSI",1,"Large",1,993,882
"HP",2,"Medium",0,1355,875
"HP",1,"Small",3,1032,358
"HP",2,"Large",1,1084,834
"MSI",3,"Medium",6,883,178
"MSI",1,"Medium",2,864,598
"MSI",0,"Medium",1,987,763
"MSI",2,"Medium",2,1094,640
"HP",2,"Large",0,1234,939
"Apple",4,"Small",2,1157,642
"MSI",6,"Large",4,1678,678
"MSI",2,"Medium",2,1015,726
"MSI",2,"Medium",1,1194,855
"MSI",1,"Medium",2,939,558
"Apple",2,"Large",2,937,730
"HP",0,"Small",4,1056,318
"MSI",1,"Medium",2,1046,707
"HP",0,"Medium",2,1285,681
"MSI",2,"Large",2,1000,658
"HP",1,"Large",1,890,746
"HP",0,"Medium",1,701,627
"HP",2,"Small",0,1380,819
"HP",5,"Large",1,796,737
"MSI",0,"Medium",2,1170,610
"HP",4,"Large",3,1097,512
"HP",1,"Small",0,839,626
"HP",3,"Medium",0,796,772
"HP",3,"Small",1,890,508
"HP",5,"Large",2,999,689
"MSI",3,"Large",1,1260,912
"MSI",2,"Small",0,986,739
"MSI",4,"Medium",0,1331,996
"MSI",2,"Medium",2,1050,676
"HP",3,"Large",1,938,756
"MSI",1,"Medium",3,967,544
"HP",2,"Medium",2,1059,656
"MSI",3,"Medium",3,1060,581
"MSI",1,"Small",3,1143,503
"HP",2,"Medium",1,716,598
"Apple",3,"Medium",0,1316,968
"HP",2,"Medium",2,566,452
"MSI",0,"Small",1,974,661
"HP",2,"Medium",0,1413,872
"HP",2,"Large",2,854,591
"MSI",2,"Medium",3,670,451
"MSI",1,"Large",2,683,640
"HP",3,"Large",2,958,629
"HP",2,"Large",2,978,643
"HP",4,"Medium",1,1131,758
"HP",3,"Medium",1,1086,731
"HP",3,"Large",2,1124,678
"HP",2,"Large",0,802,786
"HP",1,"Large",1,1127,829
"Apple",3,"Large",3,713,608
"HP",4,"Large",1,1118,792
"Apple",2,"Medium",3,1288,646
"MSI",2,"Large",2,644,579
"Apple",0,"Medium",2,1065,723
"Apple",1,"Medium",4,803,515
"MSI",0,"Large",2,1291,778
"MSI",1,"Medium",2,1183,696
"MSI",6,"Medium",3,916,518
"MSI",5,"Medium",2,1102,671
"HP",0,"Large",0,1034,852
"HP",5,"Medium",0,1069,774
"MSI",4,"Medium",3,929,531
"MSI",2,"Small",3,795,366
"MSI",2,"Large",2,1232,738
"HP",1,"Medium",3,1230,566
"HP",2,"Medium",1,1189,756
"HP",0,"Medium",2,1485,760
"MSI",0,"Medium",3,1296,618
"MSI",0,"Medium",2,1208,745
"HP",2,"Medium",1,650,615
"MSI",4,"Large",3,756,550
"MSI",2,"Small",2,800,536
"Apple",0,"Medium",1,1072,825
"HP",3,"Medium",0,1160,868
"MSI",2,"Medium",2,1154,738
"HP",3,"Medium",1,748,645
"Apple",1,"Small",3,490,381
"MSI",6,"Large",2,842,721
"MSI",4,"Medium",1,812,711
"HP",3,"Medium",1,982,693
"MSI",0,"Medium",2,1071,709
"HP",1,"Medium",3,1125,564
"MSI",4,"Medium",3,808,487
"HP",1,"Large",2,613,532
"MSI",1,"Medium",4,861,397
"HP",1,"Medium",2,911,601
"MSI",2,"Medium",1,1232,847
"HP",1,"Medium",5,826,242
"HP",2,"Medium",0,977,792
"MSI",0,"Medium",2,967,626
"HP",2,"Medium",1,1083,783
"MSI",1,"Medium",1,1074,731
"MSI",1,"Large",0,873,899
"MSI",2,"Medium",1,1275,808
"MSI",1,"Medium",2,971,689
"MSI",5,"Large",2,1315,826
"HP",1,"Large",2,1222,758
"Apple",2,"Medium",0,1102,937
"HP",3,"Large",3,1223,618
"MSI",2,"Large",1,850,717
"HP",2,"Large",3,969,554
"HP",2,"Medium",2,1253,682
"HP",0,"Medium",2,702,481
"HP",1,"Large",1,778,711
"HP",1,"Medium",4,1085,431
"HP",2,"Medium",2,1153,633
"HP",2,"Medium",4,1011,410
"HP",1,"Medium",2,601,471
"MSI",1,"Small",4,958,379
"HP",2,"Medium",1,1040,680
"Apple",4,"Large",2,767,669
"MSI",0,"Large",1,951,810
"MSI",0,"Medium",3,1274,644
"HP",1,"Small",1,1296,737
"MSI",5,"Large",6,999,344
"Apple",3,"Medium",1,801,747
"HP",4,"Medium",1,810,672
"HP",1,"Large",3,1204,620
"MSI",1,"Large",1,903,779
"HP",0,"Large",2,895,608
"HP",1,"Medium",2,999,605
"HP",2,"Medium",1,979,693
"MSI",1,"Medium",3,640,408
"MSI",3,"Medium",2,1116,701
"Apple",2,"Small",6,826,105
"MSI",1,"Medium",0,662,762
"HP",2,"Small",4,843,261
"MSI",2,"Small",3,1299,509
"HP",2,"Medium",0,763,756
"HP",0,"Medium",3,1121,545
"MSI",1,"Medium",1,1094,812
"MSI",5,"Medium",1,1077,782
"HP",1,"Small",4,869,245
"HP",1,"Medium",0,962,766
"MSI",1,"Large",6,1213,328
"MSI",1,"Medium",1,1075,773
"MSI",0,"Medium",4,795,384
"Apple",2,"Medium",1,1124,857
"HP",1,"Medium",6,902,201
"HP",0,"Medium",3,986,504
"Apple",1,"Large",3,1637,840
"HP",3,"Large",2,1093,683
"MSI",2,"Medium",3,1256,620
"HP",2,"Large",3,977,518
"MSI",2,"Small",3,1219,483
"HP",2,"Medium",2,696,535
"MSI",2,"Large",0,1061,910
"HP",2,"Medium",0,928,742
"HP",0,"Large",1,1269,839
"MSI",1,"Medium",2,1085,723
"HP",4,"Medium",2,1023,561
"MSI",5,"Medium",1,1221,830
"Apple",0,"Small",0,682,707
"MSI",2,"Medium",2,884,612
"Apple",2,"Large",2,875,747
"HP",1,"Large",3,870,491
"MSI",3,"Small",0,1128,804
"HP",2,"Medium",3,1110,521
"HP",1,"Medium",3,936,461
"HP",1,"Medium",3,1126,592
"MSI",0,"Medium",0,809,792
"Apple",3,"Large",1,1350,945
"Apple",2,"Medium",2,1401,820
"HP",2,"Medium",1,884,647
"MSI",3,"Small",1,989,582
"HP",1,"Medium",2,1032,637
"HP",2,"Small",0,922,684
"HP",2,"Medium",3,1264,587
"MSI",0,"Medium",2,1283,694
"MSI",0,"Small",1,978,582
"MSI",0,"Medium",4,853,408
"HP",3,"Large",0,933,830
"HP",2,"Medium",2,1112,629
"HP",2,"Medium",3,1354,542
"HP",2,"Small",0,1170,754
"HP",0,"Medium",2,1057,614
"HP",2,"Medium",2,1380,747
"Apple",2,"Small",2,900,532
"MSI",1,"Large",5,1161,432
"Apple",1,"Small",0,848,740
"HP",2,"Small",1,960,617
"HP",2,"Medium",0,1100,820
"HP",3,"Medium",0,1279,906
"Apple",2,"Large",3,1148,662
"MSI",0,"Large",3,1202,670
"HP",2,"Small",1,1088,649
"MSI",4,"Small",1,872,578
"MSI",3,"Medium",2,981,629
"HP",1,"Medium",1,1208,822
"MSI",1,"Large",2,1088,720
"MSI",4,"Large",1,1085,766
"MSI",0,"Medium",1,770,679
"HP",0,"Large",2,846,610
"Apple",1,"Large",2,822,674
"HP",3,"Medium",0,1096,850
"Apple",4,"Large",2,783,731
"MSI",4,"Large",0,871,845
"HP",3,"Large",3,1171,539
"HP",0,"Large",2,659,581
"MSI",1,"Large",1,966,822
"HP",2,"Large",2,766,576
"MSI",2,"Large",1,1023,812
"MSI",0,"Large",2,1203,727
"HP",4,"Medium",0,1089,831
"HP",0,"Medium",6,1112,249
"MSI",0,"Medium",1,1061,722
"MSI",3,"Large",4,1092,535
"HP",2,"Medium",3,839,465
"HP",0,"Medium",4,860,409
"MSI",1,"Medium",4,1031,512
"MSI",2,"Large",0,967,903
"HP",4,"Large",4,763,387
"HP",2,"Large",3,1084,583
"MSI",3,"Medium",2,986,642
"HP",1,"Medium",3,1115,549
"HP",2,"Small",1,1179,662
"MSI",2,"Medium",1,977,767
"HP",3,"Medium",2,944,598
"HP",0,"Medium",4,1170,477
"HP",3,"Medium",2,807,536
"HP",3,"Medium",1,779,591
"MSI",2,"Medium",1,1107,822
"Apple",0,"Medium",3,912,539
"HP",3,"Small",1,972,577
"HP",2,"Small",0,915,752
"HP",3,"Large",0,1177,890
"HP",4,"Large",2,1391,722
"HP",2,"Large",1,973,746
"HP",1,"Small",5,1136,234
"MSI",2,"Medium",0,1228,876
"Apple",2,"Medium",0,1079,886
"MSI",2,"Large",5,1258,491
"Apple",3,"Medium",3,655,530
"HP",1,"Large",1,1130,810
"MSI",3,"Medium",2,881,609
"HP",3,"Large",3,998,581
"MSI",2,"Medium",1,1370,865
"HP",1,"Large",3,833,442
"MSI",3,"Small",0,1017,785
"MSI",3,"Small",2,1080,542
"HP",4,"Small",1,906,610
"MSI",3,"Medium",4,754,399
"MSI",2,"Large",1,1184,840
"Apple",0,"Large",3,1110,672
"HP",4,"Large",3,850,495
"HP",2,"Large",2,1046,654
"MSI",3,"Large",2,1132,783
"MSI",0,"Medium",3,1089,575
"MSI",3,"Medium",2,1168,644
"HP",1,"Medium",1,1144,762
"HP",0,"Large",2,936,657
"HP",3,"Medium",3,1037,474
"HP",2,"Large",2,1093,723
"MSI",1,"Medium",3,764,504
"HP",1,"Large",1,1145,826
"MSI",2,"Small",4,1225,417
"HP",2,"Small",2,839,455
"HP",4,"Medium",1,909,606
"HP",3,"Medium",2,1122,635
"MSI",1,"Small",3,1033,440
"HP",1,"Small",2,990,511
"HP",1,"Large",1,813,680
"HP",1,"Large",3,930,524
"Apple",4,"Large",3,606,559
"MSI",1,"Medium",6,1059,221
"HP",1,"Large",3,736,521
"HP",2,"Large",0,1103,887
"MSI",0,"Small",2,944,576
"MSI",5,"Medium",1,1121,763
"MSI",1,"Large",1,652,676
"HP",3,"Medium",0,1280,860
"HP",1,"Small",1,1022,560
"MSI",2,"Medium",1,711,705
"HP",2,"Medium",2,662,527
"HP",1,"Medium",2,948,626
"HP",2,"Large",1,867,697
"HP",3,"Medium",5,1158,370
"MSI",0,"Large",4,525,361
"HP",5,"Medium",0,1130,849
"Apple",2,"Medium",4,1126,570
"HP",3,"Small",2,1134,541
"MSI",2,"Medium",4,809,392
"MSI",2,"Medium",4,942,378
"HP",2,"Medium",0,1046,806
"MSI",2,"Medium",2,834,606
"HP",3,"Medium",1,911,724
"HP",0,"Medium",0,1013,877
"MSI",6,"Large",5,768,380
"HP",2,"Medium",4,1154,440
"HP",0,"Medium",2,1187,669
"MSI",1,"Large",1,1111,810
"HP",1,"Large",2,1261,693
"HP",1,"Medium",1,870,687
"HP",3,"Medium",2,885,592
"Apple",2,"Medium",2,1559,861
"MSI",3,"Medium",0,945,828
"Apple",3,"Large",4,1281,674
"MSI",3,"Medium",1,1259,834
"HP",1,"Small",5,630,69
"MSI",3,"Medium",1,957,704
"HP",3,"Small",2,1041,522
"MSI",3,"Small",3,970,371
"Apple",0,"Medium",2,1180,745
"HP",2,"Medium",2,1259,600
"HP",3,"Medium",2,1292,657
"HP",3,"Medium",2,756,501
"HP",1,"Small",2,980,515
"HP",0,"Medium",1,599,583
"MSI",2,"Large",6,829,297
"Apple",6,"Medium",6,817,228
"HP",5,"Medium",0,1053,853
"MSI",3,"Large",1,1025,818
"HP",3,"Large",1,1046,721
"MSI",2,"Large",2,968,675
"HP",0,"Medium",4,1175,436
"MSI",2,"Large",0,1072,935
"HP",1,"Large",2,763,556
"MSI",0,"Medium",2,1077,658
"HP",1,"Large",2,1061,673
"MSI",3,"Medium",2,804,625
"MSI",1,"Medium",3,1280,616
"MSI",5,"Medium",1,846,745
"HP",1,"Medium",2,1364,731
"MSI",1,"Medium",0,967,832
"HP",0,"Medium",0,737,719
"MSI",0,"Large",1,596,665
"MSI",2,"Large",1,980,822
"HP",3,"Large",2,660,518
"MSI",3,"Large",2,908,663
"HP",1,"Large",2,992,695
"MSI",4,"Medium",4,850,461
"HP",1,"Medium",2,990,611
"Apple",2,"Medium",0,1245,932
"HP",2,"Small",1,985,622
"MSI",1,"Large",1,1053,810
"MSI",4,"Medium",2,986,646
"HP",3,"Medium",1,773,662
"HP",2,"Small",1,1035,630
"HP",1,"Medium",2,883,569
"HP",2,"Medium",2,835,526
"HP",0,"Medium",3,861,405
"MSI",2,"Medium",4,914,474
"HP",3,"Large",2,859,633
"HP",1,"Small",2,736,471
"MSI",0,"Medium",2,748,647
"HP",4,"Large",3,1014,603
"MSI",3,"Medium",3,1102,612
"HP",1,"Large",3,962,581
"HP",2,"Small",1,1287,710
"MSI",1,"Medium",0,1151,846
"MSI",1,"Medium",2,998,634
"MSI",2,"Large",2,1483,819
"MSI",2,"Medium",1,1211,848
"HP",0,"Medium",2,565,458
"HP",0,"Large",1,1267,823
"HP",3,"Medium",3,934,466
"Apple",3,"Small",1,909,700
"HP",0,"Medium",1,760,659
"MSI",2,"Large",1,947,783
"HP",4,"Large",1,877,743
"HP",2,"Large",0,781,746
"MSI",4,"Large",2,1137,772
"HP",2,"Large",2,742,586
"HP",2,"Medium",1,1146,804
"MSI",2,"Large",2,1181,777
"Apple",1,"Medium",3,720,498
"HP",3,"Medium",4,811,345
"MSI",2,"Large",1,1143,812
"Apple",0,"Large",2,1154,763
"HP",2,"Large",2,1021,649
"Apple",1,"Medium",1,1010,819
"MSI",3,"Medium",5,944,309
"MSI",0,"Large",2,933,686
"HP",0,"Small",1,885,532
"MSI",1,"Medium",6,792,178
"HP",2,"Large",1,1117,746
"HP",2,"Large",3,1033,575
"HP",4,"Medium",2,766,561
"MSI",6,"Large",0,855,855
"Apple",4,"Large",3,761,632
"HP",2,"Medium",4,851,338
"MSI",2,"Small",2,1088,567
"HP",4,"Large",0,713,863
"HP",1,"Large",4,801,366
"HP",1,"Small",4,1019,349
"HP",1,"Medium",2,900,611
"HP",2,"Large",1,970,780
"HP",0,"Medium",1,1082,695
"MSI",1,"Medium",2,1182,674
"MSI",1,"Medium",0,782,812
"HP",1,"Medium",3,1185,541
"HP",3,"Medium",4,1034,387
"HP",2,"Large",0,986,879
"HP",3,"Medium",2,904,552
"HP",3,"Medium",3,831,393
"MSI",1,"Medium",3,1087,572
"HP",2,"Medium",1,805,607
"Apple",1,"Large",3,827,585
"HP",0,"Medium",3,1191,584
"HP",5,"Large",2,1115,671
"HP",2,"Large",2,1095,719
"MSI",4,"Medium",4,1082,421
"MSI",0,"Small",2,1116,554
"MSI",1,"Medium",5,560,222
"HP",1,"Large",4,959,408
"MSI",3,"Medium",1,1017,760
"HP",3,"Medium",3,910,498
"MSI",3,"Medium",3,1098,517
"HP",1,"Medium",5,1066,319
"HP",2,"Medium",2,537,433
"HP",1,"Large",4,971,363
"HP",0,"Medium",1,874,668
"MSI",3,"Large",2,567,559
"MSI",1,"Medium",4,1165,487
"MSI",2,"Large",1,627,713
"HP",3,"Medium",0,727,724
"HP",1,"Large",2,795,597
"HP",3,"Small",3,1124,432
"MSI",2,"Large",1,1011,770
"HP",1,"Medium",1,1207,778
"HP",2,"Large",0,1054,832
"MSI",1,"Medium",4,686,382
"MSI",0,"Medium",0,1068,883
"HP",3,"Medium",2,899,554
"HP",5,"Medium",1,1170,741
"MSI",4,"Medium",4,1070,503
"HP",1,"Medium",3,827,458
"HP",0,"Large",5,1566,473
"HP",0,"Large",3,843,531
